,Longitude_first,Latitude_first,Longitude_last,Latitude_last,orig_points,dest_points,lines,distance_in_km
0,66.4,-6.7,51.4,-11.9,POINT (66.4 -6.7),POINT (51.4 -11.9),"LINESTRING (66.4 -6.7, 51.4 -11.9)",1744.77
1,77.3,-8.0,62.5,-28.9,POINT (77.3 -8),POINT (62.5 -28.9),"LINESTRING (77.3 -8, 62.5 -28.9)",2785.49
2,100.5,-7.5,89.6,-30.0,POINT (100.5 -7.5),POINT (89.6 -30),"LINESTRING (100.5 -7.5, 89.6 -30)",2738.91
3,53.9,-18.9,88.0,-30.1,POINT (53.9 -18.9),POINT (88 -30.1),"LINESTRING (53.9 -18.9, 88 -30.1)",3655.11
4,142.9,8.7,125.2,17.3,POINT (142.9 8.7),POINT (125.2 17.3),"LINESTRING (142.9 8.7, 125.2 17.3)",2140.75
5,37.6,-17.5,68.2,-40.4,POINT (37.6 -17.5),POINT (68.2 -40.4),"LINESTRING (37.6 -17.5, 68.2 -40.4)",3880.85
6,-150.7,-13.7,-146.5,-26.4,POINT (-150.7 -13.7),POINT (-146.5 -26.4),"LINESTRING (-150.7 -13.7, -146.5 -26.4)",1472.67
7,90.0,-11.2,87.6,-29.8,POINT (90 -11.2),POINT (87.6 -29.8),"LINESTRING (90 -11.2, 87.6 -29.8)",2074.33
8,77.6,-15.1,88.7,-25.9,POINT (77.6 -15.1),POINT (88.7 -25.9),"LINESTRING (77.6 -15.1, 88.7 -25.9)",1662.59
9,160.0,-17.5,172.7,-34.8,POINT (160 -17.5),POINT (172.7 -34.8),"LINESTRING (160 -17.5, 172.7 -34.8)",2294.36
10,37.6,-19.8,43.9,-39.3,POINT (37.6 -19.8),POINT (43.9 -39.3),"LINESTRING (37.6 -19.8, 43.9 -39.3)",2244.56
11,158.3,8.6,152.8,18.2,POINT (158.3 8.6),POINT (152.8 18.2),"LINESTRING (158.3 8.6, 152.8 18.2)",1217.35
12,145.1,-12.3,133.0,-14.8,POINT (145.1 -12.3),POINT (133 -14.8),"LINESTRING (145.1 -12.3, 133 -14.8)",1338.35
13,152.3,-15.0,151.8,-25.4,POINT (152.3 -15),POINT (151.8 -25.4),"LINESTRING (152.3 -15, 151.8 -25.4)",1152.56
14,89.7,-11.5,81.5,-43.8,POINT (89.7 -11.5),POINT (81.5 -43.8),"LINESTRING (89.7 -11.5, 81.5 -43.8)",3665.73
15,51.9,-14.0,64.1,-29.3,POINT (51.9 -14),POINT (64.1 -29.3),"LINESTRING (51.9 -14, 64.1 -29.3)",2109.56
16,169.5,-8.0,-148.0,-45.2,POINT (169.5 -8),POINT (-148 -45.2),"LINESTRING (169.5 -8, -148 -45.2)",5797.19
17,151.3,-12.4,126.0,-13.0,POINT (151.3 -12.4),POINT (126 -13),"LINESTRING (151.3 -12.4, 126 -13)",2747.61
18,112.5,-14.0,120.0,-34.0,POINT (112.5 -14),POINT (120 -34),"LINESTRING (112.5 -14, 120 -34)",2341.02
19,173.4,4.3,121.7,13.8,POINT (173.4 4.3),POINT (121.7 13.8),"LINESTRING (173.4 4.3, 121.7 13.8)",5768.28
20,-178.0,-17.8,-170.4,-28.7,POINT (-178 -17.8),POINT (-170.4 -28.7),"LINESTRING (-178 -17.8, -170.4 -28.7)",1434.98
21,159.9,6.7,116.8,20.6,POINT (159.9 6.7),POINT (116.8 20.6),"LINESTRING (159.9 6.7, 116.8 20.6)",4891.21
22,156.9,7.3,150.7,8.9,POINT (156.9 7.3),POINT (150.7 8.9),"LINESTRING (156.9 7.3, 150.7 8.9)",705.85
23,73.9,-18.0,83.6,-37.7,POINT (73.9 -18),POINT (83.6 -37.7),"LINESTRING (73.9 -18, 83.6 -37.7)",2379.54
24,86.9,-10.2,97.9,-21.2,POINT (86.9 -10.2),POINT (97.9 -21.2),"LINESTRING (86.9 -10.2, 97.9 -21.2)",1693.05
25,160.4,-13.6,166.0,-20.3,POINT (160.4 -13.6),POINT (166 -20.3),"LINESTRING (160.4 -13.6, 166 -20.3)",951.34
26,115.0,-12.0,114.7,-22.3,POINT (115 -12),POINT (114.7 -22.3),"LINESTRING (115 -12, 114.7 -22.3)",1140.38
27,144.1,7.4,178.1,48.7,POINT (144.1 7.4),POINT (178.1 48.7),"LINESTRING (144.1 7.4, 178.1 48.7)",5579.72
28,-79.2,26.8,-67.0,43.0,POINT (-79.2 26.8),POINT (-67 43),"LINESTRING (-79.2 26.8, -67 43)",2109.85
29,157.9,4.0,178.4,56.0,POINT (157.9 4),POINT (178.4 56),"LINESTRING (157.9 4, 178.4 56)",6048.93
30,-109.9,10.8,-119.9,18.3,POINT (-109.9 10.8),POINT (-119.9 18.3),"LINESTRING (-109.9 10.8, -119.9 18.3)",1359.39
31,-102.2,12.0,-114.0,28.5,POINT (-102.2 12),POINT (-114 28.5),"LINESTRING (-102.2 12, -114 28.5)",2200.36
32,68.5,14.5,59.5,20.8,POINT (68.5 14.5),POINT (59.5 20.8),"LINESTRING (68.5 14.5, 59.5 20.8)",1181.89
33,-97.8,11.5,-106.2,21.4,POINT (-97.8 11.5),POINT (-106.2 21.4),"LINESTRING (-97.8 11.5, -106.2 21.4)",1415.05
34,-94.3,27.0,-81.3,38.9,POINT (-94.3 27),POINT (-81.3 38.9),"LINESTRING (-94.3 27, -81.3 38.9)",1790.39
35,112.2,15.0,105.9,22.4,POINT (112.2 15),POINT (105.9 22.4),"LINESTRING (112.2 15, 105.9 22.4)",1054.35
